Type,Metabolite,CHEBI,Protein,Stoichiometry,Subunit
ABC,phosphate,CHEBI:43474,SAPIG1387,1,
ABC,phosphate,CHEBI:43474,SAPIG1388,1,
ABC,phosphate,CHEBI:43474,SAPIG1389,1,
ABC,phosphate,CHEBI:43474,SAPIG1923,1,
ABC,phosphate,CHEBI:43474,SAPIG2463,1,
ABC,ornithine,CHEBI:46911,,1,
ABC,Urea,CHEBI:16199,,1,
ABC,heme,CHEBI:60344,SAPIG1129,1,
ABC,heme,CHEBI:60344,SAPIG1726,1,
ABC,heme,CHEBI:60344,SAPIG2085,1,
ABC,glucose,CHEBI:15903,g1,1,
ABC,ribose,CHEBI:47013,,1,
ABC,L-alanine,CHEBI:57972,,1,
ABC,L-serine,CHEBI:33384,,1,
ABC,L-phenylalanine,CHEBI:58095,,1,
ABC,L-tyrosine,CHEBI:58315,,1,
ABC,L-glutamate,CHEBI:29985,SAPIG2464,1,
ABC,L-glutamate,CHEBI:29985,SAPIG2465,1,
ABC,L-glutamate,CHEBI:29985,SAPIG1924,1,
ABC,Glycine,CHEBI:57305,SAPIG2497,1,
ABC,Glycine,CHEBI:57305,SAPIG2498,1,
ABC,Glycine,CHEBI:57305,SAPIG2499,1,
ABC,Glycine,CHEBI:57305,SAPIG2500,1,
ABC,Glycine,CHEBI:57305,SAPIG2507,1,
ABC,Glycine,CHEBI:57305,SAPIG2514,1,
ABC,L-aspartate,CHEBI:29991,SAPIG1924,1,
ABC,L-aspartate,CHEBI:29991,SAPIG2464,1,
ABC,L-aspartate,CHEBI:29991,SAPIG2465,1,
ABC,L-lysine,CHEBI:32551,,1,
ABC,L-methionine,CHEBI:57844,SAPIG0529,1,
ABC,L-methionine,CHEBI:57844,SAPIG0894,1,
ABC,L-tryptophan,CHEBI:57912,,1,
ABC,L-cysteine,CHEBI:35235,,1,
ABC,L-histidine,CHEBI:57595,,1,
ABC,L-asparagine,CHEBI:58048,,1,
ABC,L-arginine,CHEBI:32682,,1,
ABC,L-threonine,CHEBI:57926,,1,
ABC,L-valine,CHEBI:57762,,1,
ABC,L-glutamine,CHEBI:58359,SAPIG1924,1,
ABC,L-glutamine,CHEBI:58359,SAPIG2464,1,
ABC,L-glutamine,CHEBI:58359,SAPIG2465,1,
ABC,L-isoleucine,CHEBI:58045,,1,
ABC,L-proline,CHEBI:60039,SAPIG2497,1,
ABC,L-proline,CHEBI:60039,SAPIG2499,1,
ABC,L-leucine,CHEBI:57427,,1,
ABC,iron(III),CHEBI:29034,,1,
ABC,putrescine,CHEBI:326268,SAPIG1097,1,
ABC,putrescine,CHEBI:326268,SAPIG1098,1,
ABC,putrescine,CHEBI:326268,SAPIG1099,1,
ABC,spermidine,CHEBI:57834,SAPIG1097,1,
ABC,spermidine,CHEBI:57834,SAPIG1098,1,
ABC,spermidine,CHEBI:57834,SAPIG1099,1,
ABC,taurine,CHEBI:507393,SAPIG0188,1,
ABC,glycine betaine,CHEBI:17750,SAPIG0187,1,
ABC,glycine betaine,CHEBI:17750,SAPIG0467,1,
ABC,glycine betaine,CHEBI:17750,SAPIG0799,1,
ABC,glycine betaine,CHEBI:17750,SAPIG0800,1,
ABC,glycine betaine,CHEBI:17750,SAPIG0984,1,
ABC,glycine betaine,CHEBI:17750,SAPIG0985,1,
ABC,glycine betaine,CHEBI:17750,SAPIG0989,1,
ABC,glycine betaine,CHEBI:17750,SAPIG0990,1,
ABC,glycine betaine,CHEBI:17750,SAPIG2497,1,
ABC,glycine betaine,CHEBI:17750,SAPIG2498,1,
ABC,glycine betaine,CHEBI:17750,SAPIG2499,1,
ABC,glycine betaine,CHEBI:17750,SAPIG2500,1,
ABC,glycine betaine,CHEBI:17750,SAPIG2507,1,
ABC,glycine betaine,CHEBI:17750,SAPIG2514,1,
ABC,L-arabinose,CHEBI:40886,,1,
PTS,fructose,CHEBI:28645,SAPIG0257,1,
PTS,fructose,CHEBI:28645,SAPIG0323,1,
PTS,fructose,CHEBI:28645,SAPIG0412,1,
PTS,fructose,CHEBI:28645,SAPIG0777,1,
PTS,fructose,CHEBI:28645,SAPIG2213,1,
PTS,fructose,CHEBI:28645,SAPIG2583,1,
PTS,fructose,CHEBI:28645,SAPIG2691,1,
PTS,glucose,CHEBI:15903,SAPIG0207,1,
PTS,glucose,CHEBI:15903,SAPIG0210,1,
PTS,glucose,CHEBI:15903,SAPIG0254,1,
PTS,glucose,CHEBI:15903,SAPIG0279,1,
PTS,glucose,CHEBI:15903,SAPIG0540,1,
PTS,glucose,CHEBI:15903,SAPIG1423,1,
PTS,glucose,CHEBI:15903,SAPIG1778,1,
PTS,glucose,CHEBI:15903,SAPIG2374,1,
PTS,glucose,CHEBI:15903,SAPIG2432,1,
PTS,glucose,CHEBI:15903,SAPIG2588,1,
PTS,n-acetyl-glucosamine,CHEBI:506227,,1,
PTS,mannitol,CHEBI:16899,SAPIG2210,1,
PTS,mannitol,CHEBI:16899,SAPIG2213,1,
PTS,sucrose,CHEBI:17992,,1,
Permease,ammonium,CHEBI:28938,,1,
Permease,Nitrogen,CHEBI:17997,,1,
Permease,glycerol,CHEBI:17754,,1,
Antiport,aspartate/alanine,CHEBI:29991/CHEBI:57972,SAPIG1720,1,
Antiport,arginine/ornithine,CHEBI:32682/CHEBI:46911,SAPIG2683,1,
Antiport,Na/H,CHEBI:29101/CHEBI:15378,SAPIG0709,1,
Antiport,Na/H,CHEBI:29101/CHEBI:15378,SAPIG2491,1,
Antiport,Na/H,CHEBI:29101/CHEBI:15378,SAPIG1005,1,
Antiport,Na/H,CHEBI:29101/CHEBI:15378,SAPIG0518,1,A
Antiport,Na/H,CHEBI:29101/CHEBI:15378,SAPIG0702,1,A
Antiport,Na/H,CHEBI:29101/CHEBI:15378,SAPIG0935,1,A
Antiport,Na/H,CHEBI:29101/CHEBI:15378,SAPIG0703,1,B
Antiport,Na/H,CHEBI:29101/CHEBI:15378,SAPIG0934,1,B
Antiport,Na/H,CHEBI:29101/CHEBI:15378,SAPIG0704,1,C
Antiport,Na/H,CHEBI:29101/CHEBI:15378,SAPIG0933,1,C
Antiport,Na/H,CHEBI:29101/CHEBI:15378,SAPIG0705,1,D
Antiport,Na/H,CHEBI:29101/CHEBI:15378,SAPIG0932,1,D
Antiport,Na/H,CHEBI:29101/CHEBI:15378,SAPIG0706,1,E
Antiport,Na/H,CHEBI:29101/CHEBI:15378,SAPIG0931,1,E
Antiport,Na/H,CHEBI:29101/CHEBI:15378,SAPIG0930,1,F
Antiport,Na/H,CHEBI:29101/CHEBI:15378,SAPIG0707,1,F
Antiport,Na/H,CHEBI:29101/CHEBI:15378,SAPIG0708,1,G
Antiport,Na/H,CHEBI:29101/CHEBI:15378,SAPIG0929,1,G
Antiport,Na/H,CHEBI:29101/CHEBI:15378,SAPIG0926,1,
Antiport,Na/H,CHEBI:29101/CHEBI:15378,SAPIG2351,1,
Antiport,Na/H,CHEBI:29101/CHEBI:15378,SAPIG2377,1,
Antiport,leucine/H,CHEBI:57427/CHEBI:15378,,1,
Antiport,isoleucine/H,CHEBI:58045/CHEBI:15378,,1,
Antiport,valine/H,CHEBI:57762/CHEBI:15378,,1,
Antiport,cysteine/H,CHEBI:35235/CHEBI:15378,,1,
Antiport,acetylserine/H,CHEBI:58340/CHEBI:15378,,1,
Antiport,Acetyl-CoA/CoA,CHEBI:57288/CHEBI:57287,,1,
Antiport,aspartate-malate,CHEBI:29991/CHEBI:15589,,1,
Antiport,aspartate-fumarate,CHEBI:29991/CHEBI:29806,,1,
Antiport,aspartate-succinate,CHEBI:29991/CHEBI:30031,,1,
Antiport,malate-succinate,CHEBI:15589/CHEBI:30031,,1,
Antiport,malate-fumarate,CHEBI:15589/CHEBI:29806,,1,
Antiport,succinate-fumarate,CHEBI:30031/CHEBI:29806,,1,
Antiport,lysine/H,CHEBI:32551/CHEBI:15378,,1,
Symport,nitrate/H,CHEBI:17632/CHEBI:15378,,1,
Symport,nitrate/H,CHEBI:17632/CHEBI:15378,,1,
Symport,nitrate/H,CHEBI:17632/CHEBI:15378,,1,
Symport,nitrate/H,CHEBI:17632/CHEBI:15378,,1,
Symport,formate/Na,CHEBI:15740/CHEBI:29101,,1,
Symport,formate/Na,CHEBI:15740/CHEBI:29101,,1,
Symport,formate/Na,CHEBI:15740/CHEBI:29101,,1,
Symport,formate/Na,CHEBI:15740/CHEBI:29101,,1,
Symport,formate/Na,CHEBI:15740/CHEBI:29101,,1,
Symport,formate/Na,CHEBI:15740/CHEBI:29101,,1,
Symport,formate/H,CHEBI:15740/CHEBI:15378,,1,
Symport,formate/H,CHEBI:15740/CHEBI:15378,,1,
Symport,formate/H,CHEBI:15740/CHEBI:15378,,1,
Symport,formate/H,CHEBI:15740/CHEBI:15378,,1,
Symport,formate/H,CHEBI:15740/CHEBI:15378,,1,
Symport,formate/H,CHEBI:15740/CHEBI:15378,,1,
Symport,formate/H,CHEBI:15740/CHEBI:15378,,1,
Symport,formate/H,CHEBI:15740/CHEBI:15378,,1,
Symport,formate/H,CHEBI:15740/CHEBI:15378,,1,
Symport,formate/H,CHEBI:15740/CHEBI:15378,,1,
Symport,formate/H,CHEBI:15740/CHEBI:15378,,1,
Symport,formate/H,CHEBI:15740/CHEBI:15378,,1,
Symport,formate/H,CHEBI:15740/CHEBI:15378,,1,
Symport,formate/H,CHEBI:15740/CHEBI:15378,,1,
Symport,formate/H,CHEBI:15740/CHEBI:15378,,1,
Symport,formate/H,CHEBI:15740/CHEBI:15378,,1,
Symport,formate/H,CHEBI:15740/CHEBI:15378,,1,
Symport,formate/H,CHEBI:15740/CHEBI:15378,,1,
Symport,formate/H,CHEBI:15740/CHEBI:15378,,1,
Symport,formate/H,CHEBI:15740/CHEBI:15378,,1,
Symport,formate/H,CHEBI:15740/CHEBI:15378,,1,
Symport,formate/H,CHEBI:15740/CHEBI:15378,,1,
Symport,formate/H,CHEBI:15740/CHEBI:15378,,1,
Symport,formate/H,CHEBI:15740/CHEBI:15378,,1,
Symport,formate/H,CHEBI:15740/CHEBI:15378,,1,
Symport,formate/H,CHEBI:15740/CHEBI:15378,,1,
Symport,formate/H,CHEBI:15740/CHEBI:15378,,1,
Symport,formate/H,CHEBI:15740/CHEBI:15378,,1,
Symport,formate/H,CHEBI:15740/CHEBI:15378,,1,
Symport,formate/H,CHEBI:15740/CHEBI:15378,,1,
Symport,formate/H,CHEBI:15740/CHEBI:15378,,1,
Symport,formate/H,CHEBI:15740/CHEBI:15378,,1,
Symport,formate/H,CHEBI:15740/CHEBI:15378,,1,
Symport,formate/H,CHEBI:15740/CHEBI:15378,,1,
Symport,formate/H,CHEBI:15740/CHEBI:15378,,1,
Symport,formate/H,CHEBI:15740/CHEBI:15378,,1,
Symport,formate/H,CHEBI:15740/CHEBI:15378,,1,
Symport,formate/H,CHEBI:15740/CHEBI:15378,,1,
Symport,formate/H,CHEBI:15740/CHEBI:15378,,1,
Symport,formate/H,CHEBI:15740/CHEBI:15378,,1,
Symport,formate/H,CHEBI:15740/CHEBI:15378,,1,
Symport,formate/H,CHEBI:15740/CHEBI:15378,,1,
Symport,formate/H,CHEBI:15740/CHEBI:15378,,1,
Symport,formate/H,CHEBI:15740/CHEBI:15378,,1,
Symport,formate/H,CHEBI:15740/CHEBI:15378,,1,
Symport,formate/H,CHEBI:15740/CHEBI:15378,,1,
Symport,formate/H,CHEBI:15740/CHEBI:15378,,1,
Symport,proline/Na,CHEBI:60039/CHEBI:29101,,1,
Symport,proline/Na,CHEBI:60039/CHEBI:29101,,1,
Symport,proline/Na,CHEBI:60039/CHEBI:29101,,1,
Symport,proline/Na,CHEBI:60039/CHEBI:29101,,1,
Symport,proline/Na,CHEBI:60039/CHEBI:29101,,1,
Symport,proline/Na,CHEBI:60039/CHEBI:29101,,1,
Symport,proline/Na,CHEBI:60039/CHEBI:29101,,1,
Symport,proline/Na,CHEBI:60039/CHEBI:29101,,1,
Symport,proline/Na,CHEBI:60039/CHEBI:29101,,1,
Symport,proline/Na,CHEBI:60039/CHEBI:29101,,1,
Symport,proline/Na,CHEBI:60039/CHEBI:29101,,1,
Symport,proline/H,CHEBI:60039/CHEBI:15378,,1,
Symport,proline/H,CHEBI:60039/CHEBI:15378,,1,
Symport,proline/H,CHEBI:60039/CHEBI:15378,,1,
Symport,proline/H,CHEBI:60039/CHEBI:15378,,1,
Symport,acetate/Na,CHEBI:30089/CHEBI:29101,,1,
Symport,acetate/Na,CHEBI:30089/CHEBI:29101,,1,
Symport,acetate/Na,CHEBI:30089/CHEBI:29101,,1,
Symport,acetate/Na,CHEBI:30089/CHEBI:29101,,1,
Symport,acetate/Na,CHEBI:30089/CHEBI:29101,,1,
Symport,acetate/Na,CHEBI:30089/CHEBI:29101,,1,
Symport,acetate/Na,CHEBI:30089/CHEBI:29101,,1,
Symport,Na/Pi,CHEBI:29101/CHEBI:43474,,1,
Symport,Na/Pi,CHEBI:29101/CHEBI:43474,,1,
Symport,alanine/Na,CHEBI:57972/CHEBI:29101,,1,
Symport,alanine/Na,CHEBI:57972/CHEBI:29101,,1,
Symport,alanine/Na,CHEBI:57972/CHEBI:29101,,1,
Symport,alanine/Na,CHEBI:57972/CHEBI:29101,,1,
Symport,alanine/Na,CHEBI:57972/CHEBI:29101,,1,
Symport,alanine/Na,CHEBI:57972/CHEBI:29101,,1,
Symport,alanine/Na,CHEBI:57972/CHEBI:29101,,1,
Symport,alanine/Na,CHEBI:57972/CHEBI:29101,,1,
Symport,alanine/H,CHEBI:57972/CHEBI:15378,,1,
Symport,alanine/H,CHEBI:57972/CHEBI:15378,,1,
Symport,alanine/H,CHEBI:57972/CHEBI:15378,,1,
Symport,alanine/H,CHEBI:57972/CHEBI:15378,,1,
Symport,tyrosine/H,CHEBI:58315/CHEBI:15378,,1,
Symport,tyrosine/H,CHEBI:58315/CHEBI:15378,,1,
Symport,tyrosine/H,CHEBI:58315/CHEBI:15378,,1,
Symport,tyrosine/H,CHEBI:58315/CHEBI:15378,,1,
Symport,tyrosine/H,CHEBI:58315/CHEBI:15378,,1,
Symport,tyrosine/H,CHEBI:58315/CHEBI:15378,,1,
Symport,tryptophan/H,CHEBI:57912/CHEBI:15378,,1,
Symport,tryptophan/H,CHEBI:57912/CHEBI:15378,,1,
Symport,tryptophan/H,CHEBI:57912/CHEBI:15378,,1,
Symport,tryptophan/H,CHEBI:57912/CHEBI:15378,,1,
Symport,tryptophan/H,CHEBI:57912/CHEBI:15378,,1,
Symport,tryptophan/H,CHEBI:57912/CHEBI:15378,,1,
Symport,serine/H,CHEBI:33384/CHEBI:15378,,1,
Symport,serine/H,CHEBI:33384/CHEBI:15378,,1,
Symport,serine/Na,CHEBI:33384/CHEBI:29101,,1,
Symport,histidine,CHEBI:57595/CHEBI:15378,,1,
Symport,glycine/Na,CHEBI:57305/CHEBI:29101,,1,
Symport,glycine/Na,CHEBI:57305/CHEBI:29101,,1,
Symport,glycine/Na,CHEBI:57305/CHEBI:29101,,1,
Symport,glycine/Na,CHEBI:57305/CHEBI:29101,,1,
Symport,glutamate/Na,CHEBI:29985/CHEBI:29101,,1,
Symport,gluconate/H,CHEBI:18391/CHEBI:15378,,1,
Symport,gluconate/H,CHEBI:18391/CHEBI:15378,,1,
Symport,gluconate/H,CHEBI:18391/CHEBI:15378,,1,
Symport,gluconate/H,CHEBI:18391/CHEBI:15378,,1,
Symport,nitrite/H,CHEBI:16301/CHEBI:15378,,1,
Symport,glycerol-3-phosphate/H,CHEBI:57597/CHEBI:15378,,1,
Symport,glycerol-3-phosphate/H,CHEBI:57597/CHEBI:15378,,1,
Symport,glycerol-3-phosphate/H,CHEBI:57597/CHEBI:15378,,1,
Symport,H/alpha-ketoglutarate,CHEBI:15378/CHEBI:16810,,1,
Symport,r-lactate/H,CHEBI:16004/CHEBI:15378,,1,
Symport,r-lactate/H,CHEBI:16651/CHEBI:15378,,1,
Symport,choline/H,CHEBI:15354/CHEBI:15378,,1,
Symport,choline/H,CHEBI:15354/CHEBI:15378,,1,
Symport,choline/H,CHEBI:15354/CHEBI:15378,,1,
Symport,choline/H,CHEBI:15354/CHEBI:15378,,1,
Symport,choline/H,CHEBI:15354/CHEBI:15378,,1,
Symport,choline/H,CHEBI:15354/CHEBI:15378,,1,
Symport,choline/H,CHEBI:15354/CHEBI:15378,,1,
Symport,glycine-betaine/H,CHEBI:17750/CHEBI:15378,,1,
Symport,glycine-betaine/H,CHEBI:17750/CHEBI:15378,,1,
Symport,glycine-betaine/H,CHEBI:17750/CHEBI:15378,,1,
Symport,glycine-betaine/H,CHEBI:17750/CHEBI:15378,,1,
Symport,glycine-betaine/H,CHEBI:17750/CHEBI:15378,,1,
Symport,glycine-betaine/H,CHEBI:17750/CHEBI:15378,,1,
Symport,glycine-betaine/H,CHEBI:17750/CHEBI:15378,,1,
Symport,phosphate/H,CHEBI:43474/CHEBI:15378,,1,
Symport,glutamate/H,CHEBI:29985/CHEBI:15378,,1,
Symport,glutamate/H,CHEBI:29985/CHEBI:15378,,1,
Symport,glutamate/H,CHEBI:29985/CHEBI:15378,,1,
Symport,glutamate/H,CHEBI:29985/CHEBI:15378,,1,
Symport,glutamate/Na,CHEBI:29985/CHEBI:29101,,1,
Symport,glutamate/Na,CHEBI:29985/CHEBI:29101,,1,
Symport,glutamate/Na,CHEBI:29985/CHEBI:29101,,1,
Symport,glutamate/Na,CHEBI:29985/CHEBI:29101,,1,
Symport,threonine/Na,CHEBI:57926/CHEBI:29101,,1,
Symport,leucine/H,CHEBI:57427/CHEBI:15378,,1,
Symport,leucine/H,CHEBI:57427/CHEBI:15378,,1,
Symport,isoleucine/H,CHEBI:58045/CHEBI:15378,,1,
Symport,isoleucine/H,CHEBI:58045/CHEBI:15378,,1,
Symport,valine/H,CHEBI:57762/CHEBI:15378,,1,
Symport,valine/H,CHEBI:57762/CHEBI:15378,,1,
Symport,leucine/Na,CHEBI:57427/CHEBI:29101,,1,
Symport,leucine/Na,CHEBI:57427/CHEBI:29101,,1,
Symport,isoleucine/Na,CHEBI:58045/CHEBI:29101,,1,
Symport,isoleucine/Na,CHEBI:58045/CHEBI:29101,,1,
Symport,valine/Na,CHEBI:57762/CHEBI:29101,,1,
Symport,valine/Na,CHEBI:57762/CHEBI:29101,,1,
Symport,glutamate/Na,CHEBI:29985/CHEBI:29101,,1,
Symport,cytosine/H,CHEBI:16040/CHEBI:15378,,1,
Symport,cytosine/H,CHEBI:16040/CHEBI:15378,,1,
Symport,cytosine/H,CHEBI:16040/CHEBI:15378,,1,
Symport,uracil/H,CHEBI:17568/CHEBI:15378,,1,
Symport,uracil/H,CHEBI:17568/CHEBI:15378,,1,
Symport,uracil/H,CHEBI:17568/CHEBI:15378,,1,
Symport,xanthine/H,CHEBI:17712/CHEBI:15378,,1,
Symport,xanthine/H,CHEBI:17712/CHEBI:15378,,1,
Symport,xanthine/H,CHEBI:17712/CHEBI:15378,,1,
Symport,uracil/H,CHEBI:17568/CHEBI:15378,,1,
Symport,uracil/H,CHEBI:17568/CHEBI:15378,,1,
Symport,uracil/H,CHEBI:17568/CHEBI:15378,,1,
Symport,uracil/H,CHEBI:17568/CHEBI:15378,,1,
Symport,uracil/H,CHEBI:17568/CHEBI:15378,,1,
Symport,xanthine/H,CHEBI:17712/CHEBI:15378,,1,
Symport,xanthine/H,CHEBI:17712/CHEBI:15378,,1,
Symport,xanthine/H,CHEBI:17712/CHEBI:15378,,1,
Symport,xanthine/H,CHEBI:17712/CHEBI:15378,,1,
Symport,xanthine/H,CHEBI:17712/CHEBI:15378,,1,
Symport,guanine/H,CHEBI:16235/CHEBI:15378,,1,
Symport,guanine/H,CHEBI:16235/CHEBI:15378,,1,
Symport,guanine/H,CHEBI:16235/CHEBI:15378,,1,
Symport,adenine/H,CHEBI:16708/CHEBI:15378,,1,
Symport,adenine/H,CHEBI:16708/CHEBI:15378,,1,
Symport,adenine/H,CHEBI:16708/CHEBI:15378,,1,
Symport,r-allantoin/H,CHEBI:15677/CHEBI:15378,,1,
Symport,r-allantoin/H,CHEBI:15677/CHEBI:15378,,1,
Symport,r-allantoin/H,CHEBI:15677/CHEBI:15378,,1,
Symport,s-allantoin/H,CHEBI:15678/CHEBI:15378,,1,
Symport,s-allantoin/H,CHEBI:15678/CHEBI:15378,,1,
Symport,s-allantoin/H,CHEBI:15678/CHEBI:15378,,1,
Symport,cytosine/H,CHEBI:16040/CHEBI:15378,,1,
Symport,cytosine/H,CHEBI:16040/CHEBI:15378,,1,
Symport,cytosine/H,CHEBI:16040/CHEBI:15378,,1,
Symport,uracil/Na,CHEBI:17568/CHEBI:29101,,1,
Symport,uracil/Na,CHEBI:17568/CHEBI:29101,,1,
Symport,uracil/Na,CHEBI:17568/CHEBI:29101,,1,
Symport,xanthine/Na,CHEBI:17712/CHEBI:29101,,1,
Symport,xanthine/Na,CHEBI:17712/CHEBI:29101,,1,
Symport,xanthine/Na,CHEBI:17712/CHEBI:29101,,1,
Symport,guanine/Na,CHEBI:16235/CHEBI:29101,,1,
Symport,guanine/Na,CHEBI:16235/CHEBI:29101,,1,
Symport,guanine/Na,CHEBI:16235/CHEBI:29101,,1,
Symport,adenine/Na,CHEBI:16708/CHEBI:29101,,1,
Symport,adenine/Na,CHEBI:16708/CHEBI:29101,,1,
Symport,adenine/Na,CHEBI:16708/CHEBI:29101,,1,
Symport,sulfate/Na,CHEBI:16189/CHEBI:29101,,1,
Symport,sulfate/Na,CHEBI:16189/CHEBI:29101,,1,
